as_type	tag	sig1	dPSI	p_value	A1	A2	CTRL1	CTRL2
SE	known	SE_sig	-0.3633415961	0.047952048	0.589709532326703	0.573278555319844	0.968551561433553	0.921119718368561
AF	novel	AF_sig	0.2039235926	0.012987013	0.298972442749476	0.284437496800303	0.0723113026204892	0.103251451630938
AF	known	AF_sig	-0.244537492	0.035964036	0.510925015954975	1	1	1
AF	known	AF_sig	-0.0665329068	0.0472027972	0.866934186476733	1	1	1
AF	known	AF_sig	-0.0665329068	0.0472027972	0.866934186476733	1	1	1
SE	known	SE_sig	0.0979015741	0.0472027972	0.984932105758678	0.943727130096869	0.84917919826783	0.883676889431462
A5	novel	A5_sig	0.3040511052	0.0004995005	0.619518818069493	0.540829398207867	0.231101708153535	0.321144297644191
A3	known	A3_sig	0.0593193121	0.0569430569	0.953778518106854	0.925383958658872	0.83498119474188	0.925542657826744
SE	known	SE_sig	0.1619480079	0.023976024	0.238408412830327	0.243332416162395	0.0961731337981879	0.0616716793082638
A3	novel	A3_sig	0.3613249906	0.0034965035	0.662127082786825	0.508577604640377	0.237984025353337	0.210070680870648
SE	known	SE_sig	-0.1041842755	0.0367132867	0.51495233986636	0.551513168092831	0.610617030016001	0.664217028998476
A3	known	A3_sig	-0.2542042923	0.0549450549	0.297122660634317	1	0.914621431878297	0.890909813284606
AL	known	AL_sig	-0.7381235041	0.035964036	0	0.360073834358475	0.890906833395168	0.945414009214944
SE	novel	SE_sig	0.1480547994	0.0579420579	0.211085362883443	0.240873871126688	0.0623048247221727	0.0935448104781696
AF	known	AF_sig	-0.2831850877	0.012987013	0.681487065267407	0.752142759416721	1	1
SE	known	SE_sig	0.2521212375	0.0549450549	0.928735332188297	0.968251339693804	0.741405857809878	0.651338339129619
AF	known	AF_sig	0.2559530373	0.0557775558	0.257216321510154	0.381293528909861	0.0304426402521884	0.0961611355677255
AF	known	AF_sig	0.9345307343	0.014985015	1	1	0.0420431606152955	0.0888953708265767
AF	novel	AF_sig	0.469340449	0.0212287712	1	1	0.582948558592971	0.478370543453095
A3	known	A3_sig	0.1736822096	0.0264735265	0.324164979314256	0.187364781745244	0.0800876020984606	0.0840777397782795
A5	novel	A5_sig	-0.2817869396	0.0264735265	0	0.534745598576424	0.462509987183447	0.635809490619675
A3	known	A3_sig	-0.2449822234	0.0104895105	0.560182452095168	0.587689306013069	0.858159479546013	0.779676725399719
SE	known	SE_sig	-0.1348195184	0.023976024	0.437839980421073	0.36478660843322	0.554147398864422	0.518118226744918
SE	known	SE_sig	0.1389209826	0.0514485514	1	1	0.904479553494687	0.817678481226922
A5	known	A5_sig	0.0852125268	0.025974026	1	0.981814576248434	0.881977303283917	0.929412219289191
AF	known	AF_sig	-0.5	0.046953047	0	1	1	1
A5	known	A5_sig	0.3086671349	0.038961039	0.90593457277886	0.572110531080887	0.459039831571216	0.401671002554949
AF	known	AF_sig	-0.4551083721	0.0064935065	0	0.36287018749336	0.585848219314549	0.687238712448596
SE	known	SE_sig	-0.1485217602	0.0474525475	0.576973408302737	0.923041040158138	0.845702155780909	0.951355813081869
MX	known	MX_sig	0.0921978672	0	0.764598023859957	0.765156558905187	0.675469702580151	0.669889145770902
A3	known	A3_sig	-0.132977178	0.0594405594	0.275964961032727	0.42264441563485	0.471843747307348	0.49271998531051
A5	known	A5_sig	-0.2162039123	0.0324675325	0.0330334212578577	0.128680741882067	0.364915252235543	0.229206735523201
A5	known	A5_sig	-0.0422445133	0.0324675325	0.914326755670944	0.87388735261417	0.952361735772934	0.920341399187069
RI	novel	RI_sig	-0.1708825027	0.0599400599	0.21255705502147	0.138685667260032	0.317210158010058	0.375797569604676
SE	known	SE_sig	-0.1728270178	0.0544455544	0.852438485963068	0.801907478521317	1	1
A3	known	A3_sig	0.1157185561	0.043956044	0.386331417352704	0.334854601109534	0.135208981800809	0.354539924411888
RI	novel	RI_sig	-0.197370132	0.043956044	0.744904764274306	0.726685765902296	0.956081653872222	0.91024914022356
RI	novel	RI_sig	-0.1917196428	0.012987013	0	0.0508823576155433	0.125830504738207	0.30849113849679
RI	novel	RI_sig	-0.9877188367	0	0	0	0.98460890991287	0.990828763481713
RI	novel	RI_sig	0.639943237	0.0117382617	1	1	0.372514321130587	0.347599204906077
A5	known	A5_sig	0.0859109633	0.0564435564	0.760087944969978	0.806926586707801	0.677302789615748	0.717889815498024
SE	known	SE_sig	0.1488886363	0	0.66758656259102	0.667122759384681	0.535171063904926	0.501760985551505
A5	known	A5_sig	-0.2758517926	0.005994006	0.514073739231701	0.559827716641084	0.772714215331484	0.852890825717349
RI	novel	RI_sig	-0.3507670377	0.002997003	0.281075254637739	0.248258595706117	0.643622981808708	0.587244943955284
RI	novel	RI_sig	-0.5817216897	0	0.292592833467022	0.295783394532368	0.859944008061573	0.891875599414547
SE	known	SE_sig	-0.0432316697	0.024975025	0.851808463749027	0.906477259843567	0.927486802014427	0.917262260923975
AF	known	AF_sig	-0.5313533452	0.0104895105	0	0.226596407530453	0.566404035570364	0.722899062438416
AF	known	AF_sig	-0.2054416926	0.0104895105	0.678127829185454	0.667608956536072	0.852994871682672	0.903625299199487
SE	known	SE_sig	0.4977880695	0.0464535465	0.748883498582995	0.602964474184491	0.195925218293721	0.160346615384294
SE	known	SE_sig	-0.5342625111	0.026973027	0	0.644089541267815	0.931855314915062	0.780759248615476
A5	novel	A5_sig	0.1579523941	0.0164835165	0.315908198707529	0.389497241570252	0.259354778578012	0.13014587355946
AL	novel	AL_sig	1	0	1	1	0	0
RI	novel	RI_sig	0.4694397629	0.002997003	0.189800629892306	1	0.151536253688041	0.0993848504759587
A5	known	A5_sig	0.4383923475	0.0254745255	1	1	0.555647985431772	0.567567319483672
A5	novel	A5_sig	-0.2924132751	0.0314685315	0	0.565632852071575	0.568588563044949	0.581870839299484
AF	known	AF_sig	0.4902262862	0.0566433566	1	0.0406906826135042	0.0186353007472822	0.0416028095369408
AF	novel	AF_sig	0.3316131263	0.0314685315	0.62581230468997	0.597626282207508	0.248272748770475	0.311939585622554
AF	novel	AF_sig	0.5500739045	0.020979021	1	0.490839883788328	0.182621920881248	0.208070153947315
AF	novel	AF_sig	0.2081281702	0.0314685315	1	0.720916723738773	0.600664227167206	0.703996156154432
AF	novel	AF_sig	0.3371008854	0.0524475524	0.495612440905952	0.178589329843402	0	0
A3	known	A3_sig	0.0961901428	0.011988012	0.884876727581878	0.869114675684543	0.774478162964559	0.787132954674677
SE	novel	SE_sig	-0.3759159847	0.0124875125	0.444219762903144	0.366586505127413	0.712023346515355	0.850614890882321
MX	known	MX_sig	0.0756472425	0.003996004	0.420960948703583	0.397462649522412	0.346899220316979	0.320229892940413
A5	known	A5_sig	-0.0613419612	0.0024975025	0.934288915616926	0.861903166309094	0.957788051960347	0.961087952268166
AF	novel	AF_sig	0.1862671185	0.0559440559	0.16781267029205	0.296669910269129	0.0919483435163458	0
AL	novel	AL_sig	0.5430416878	0.0404595405	1	1	0.913916624419515	0
AF	novel	AF_sig	-0.1249897839	0.0262237762	0.0646915007716243	0.0901399511636358	0.195908627426532	0.208902392293859
AF	novel	AF_sig	-0.1076779856	0.0262237762	0.0603661469348524	0.0783676361232333	0.164667275195844	0.189422479128344
AF	novel	AF_sig	-0.0908850406	0.0274725275	0.0846628357562416	0.0876568374674594	0.164667275195844	0.189422479128344
RI	novel	RI_sig	0.2023302459	0.0274725275	0.525525523348094	0.590211531336007	0.381192144354725	0.329884418624911
SE	known	SE_sig	0.2251442917	0.00999001	0.858155149995763	0.967518718720286	0.650513920080976	0.724871365306453
A3	known	A3_sig	-0.0578504065	0.0584415584	0.844437719708825	0.776109497218188	0.847760550373441	0.888487479513758
SE	known	SE_sig	0.2086980247	0.0044955045	1	0.91160247863292	0.765001761871646	0.729204667363661
A5	known	A5_sig	-0.1056494196	0.0184815185	0.541518296930912	0.555772072971287	0.644372486520526	0.664216722584877
AF	known	AF_sig	-0.5	0.045954046	0	0	1	0
AF	novel	AF_sig	0.2856562954	0.0244755245	0.486119021585513	0.547100383060294	0.290253640510917	0.171653173365434
SE	known	SE_sig	0.1685305611	0.0529470529	0.901800511945896	0.769272890682539	0.594701491926527	0.739310788523694
AF	known	AF_sig	0.0835684185	0.0539460539	0.533763108143559	0.482100356624728	0.400883536491643	0.44784309130842
SE	known	SE_sig	0.3058436082	0.010989011	0.728264046462182	0.271169364014349	0.29449436929747	0.0932518248008522
AF	known	AF_sig	-0.2523050907	0.031968032	0.487226682732502	0.621743881389985	0.820172663291597	0.793408082291606
AF	known	AF_sig	-0.2523050907	0.031968032	0.487226682732502	0.621743881389985	0.820172663291597	0.793408082291606
AF	known	AF_sig	-0.1491645271	0.031968032	0.737797926435837	0.710730589488301	0.858804040861398	0.888053529305375
AF	known	AF_sig	-0.1491645271	0.031968032	0.737797926435837	0.710730589488301	0.858804040861398	0.888053529305375
A3	known	A3_sig	-0.1109265002	0.0599400599	0.565347483954687	0.489093622010003	0.714607076412851	0.561687029979966
RI	novel	RI_sig	-0.3369436287	0.0384615385	0	0.222105659596207	0.429299904030359	0.466693013039292
AL	known	AL_sig	0.2144933621	0.0064935065	0.268864591350626	0.301348164744984	0.0653874922138709	0.0758385395828376
AL	known	AL_sig	-0.6523404593	0.002997003	0.353121434660825	0.34219764670902	1	1
AL	known	AL_sig	0.2471482113	0.002997003	0.389269284401157	0.225814071293741	0.0392677669340901	0.0815191662441981
AF	known	AF_sig	-0.1985290519	0.027972028	0.687101439432865	0.529736964837622	0.8529900135428	0.760906494437944
AF	known	AF_sig	-0.2124557654	0.027972028	0.564180749163999	0.475272044212369	0.848141531261324	0.61622279291145
SE	known	SE_sig	-0.231831919	0.034965035	0.373560641917537	0.5070909523772	0.789735133488139	0.554580298778105
AF	novel	AF_sig	0.3299215975	0.017982018	1	1	0.764747044756646	0.57540976014815
AF	known	AF_sig	-0.4563758022	0.017982018	0	0	0.574142742509993	0.338608861810332
AF	novel	AF_sig	-0.1476917996	0.0315934066	0.902807751669961	0.698701530561702	0.896892881509027	1
AF	novel	AF_sig	0.1050281818	0.0315934066	0.353800886458996	0.400648711765627	0.271754865961578	0.272638368695107
AF	known	AF_sig	-0.1402902348	0.0315934066	0.921422533340336	0.734873058048482	0.936876061047159	1
AF	novel	AF_sig	0.1191438561	0.0315934066	0.0556617055447865	0.223760441309928	0.0411344346814569	0
RI	novel	RI_sig	-0.075438456	0.008991009	0.184751824715933	0.171737903133654	0.247003542706914	0.260363097211875
AF	novel	AF_sig	0.4774448128	0.047952048	0.655448751812604	0.697855782679659	0.398414908798162	0
SE	known	SE_sig	0.5002794919	0.0204795205	1	1	0.475966291933658	0.523474724362417
SE	known	SE_sig	-0.1182456704	0.045954046	0.839480510656763	0.820285553986921	0.90729745396183	0.988959951432959
SE	known	SE_sig	0.3240374606	0.0509490509	0.591384727241885	1	0.529780196272558	0.41352960973968
SE	known	SE_sig	0.2083937882	0.0599400599	1	1	0.740371131476139	0.842841292102144
A3	known	A3_sig	-0.1317181361	0.0444555445	0.656172590792052	0.718831288071243	0.818949825658045	0.819490325396409
AF	novel	AF_sig	-0.4079791974	0	0.496525454255811	0.687516150870665	1	1
AF	known	AF_sig	-0.8649055325	0	0.114699070735803	0.155489864268079	1	1
AF	novel	AF_sig	-0.2861957934	0.0033300033	0.709454765641475	0.718153647544306	1	1
AF	novel	AF_sig	0.1333901234	0.0112387612	0.591162939283046	0.580228494699583	0.463569190207812	0.441041997056673
A5	known	A5_sig	0.1293219104	0.0253080253	0.778328338548331	0.782852195233522	0.643111250012049	0.659425462930352
AF	novel	AF_sig	0.6107258002	0	1	1	0.207963519397503	0.570584880129067
AF	novel	AF_sig	-0.1870409274	0.0253080253	0.379486898805128	0.303048898472715	0.401545507054543	0.655072145028797
SE	known	SE_sig	-0.0827881081	0.0202297702	0.836130299806725	0.850529274278447	0.938189284060334	0.914046506269844
SE	known	SE_sig	0.0792350447	0.0202297702	0.25824479104635	0.252380153697849	0.177742619700057	0.174412235742435
RI	novel	RI_sig	-0.2074592272	0.022977023	0	0.29617610398984	0.318553446246577	0.392541112172901
AF	known	AF_sig	0.3733519177	0.0082417582	1	0.79996420009212	0.552041139380366	0.501219225344045
AF	known	AF_sig	0.3645599678	0.0082417582	1	0.80443128225669	0.561301726164884	0.51400962039366
AF	known	AF_sig	0.2066102196	0.010989011	1	0.862369622504768	0.708419705565531	0.740729477831867
AF	known	AF_sig	0.2066102196	0.010989011	1	0.862369622504768	0.708419705565531	0.740729477831867
A5	known	A5_sig	-1	0	0	0	1	1
AF	novel	AF_sig	0.1875528862	0.0427072927	0.446436022760959	0.46358628182025	0.32442046287497	0.210496069347161
AF	novel	AF_sig	0.5270508686	0.0164835165	1	1	0.659317032787428	0.286581230088981
AF	novel	AF_sig	-0.1499089443	0.010989011	0.448480628333487	0.402894122153239	0.524843480633383	0.626349158476515
AF	known	AF_sig	-0.1499089443	0.010989011	0.448480628333487	0.402894122153239	0.524843480633383	0.626349158476515
A5	known	A5_sig	-0.3917313921	0.0404595405	0.375913692169481	0.74200539462722	1	0.901381871048012
SE	known	SE_sig	-0.3083494781	0.011988012	0	0.165742228087922	0.374142757331553	0.408298427047236
A5	known	A5_sig	-0.0790631453	0.0274725275	0.688681825018116	0.668889394849188	0.761546437774232	0.754151072792398
SE	known	SE_sig	-0.1073220263	0.0274725275	0.681059809896111	0.688765747007362	0.81168759027235	0.772782019161016
A3	known	A3_sig	0.0442747696	0.032967033	1	1	0.911450460725044	1
SE	known	SE_sig	-0.0679415539	0.023976024	0.584834801935334	0.556662036268815	0.621828001013013	0.655551944955465
AF	novel	AF_sig	-0.5	0.014985015	0	1	1	1
A3	known	A3_sig	-0.2737133975	0.0569430569	0.0272010181381774	0.172025201929227	0.372032643380848	0.374620371745619
A3	known	A3_sig	0.1958960173	0.0569430569	0.972798981861823	0.851735236641364	0.807362555665944	0.625379628254382
AF	known	AF_sig	0.3815015145	0.031968032	0.458200410308514	0.304802618746016	0	0
A5	known	A5_sig	-0.2489756343	0.011988012	0.586839060487868	0.520431031912376	0.789402422820422	0.815818938164541
SE	known	SE_sig	0.2117660296	0.0564435564	0.748354004874028	1	0.684468622530446	0.640353323235396
AL	novel	AL_sig	-0.5084842965	0.030969031	0	0.899515838340557	0.944347063047539	0.972137368306077
A3	known	A3_sig	-0.0184083755	0.0514485514	0.960202800068291	0.939637389224853	0.970272525212863	0.966384415116992
A3	known	A3_sig	-0.2672038909	0.0444555445	0	0.420583141007079	0.454173636732945	0.500817286035582
AF	known	AF_sig	0.5330337351	0.038961039	1	0.123447027207924	0	0.057379557056098
AF	known	AF_sig	0.7434136274	0.011988012	1	1	0.235169830647648	0.278002914577877
SE	known	SE_sig	0.1802844136	0.038961039	0.337182909674801	0.253941665594505	0.125643554511459	0.104912193547109
AF	known	AF_sig	-0.5836049719	0.0147352647	0.139316647663824	0.237312813357715	0.767246932831844	0.77659247204387
AF	known	AF_sig	0.1105746618	0.0392940393	0.691034194202728	0.793683948875533	0.61908773582797	0.644481083689023
RI	novel	RI_sig	0.5891389217	0	0.934459464738725	0.860403561679675	0.240372903474103	0.376212279584724
A5	known	A5_sig	0.0963187849	0.0424575425	0.489446545188791	0.48670910308281	0.409673028584603	0.373845049851999
AF	novel	AF_sig	-0.1408226527	0.014985015	0.729524867135082	0.700468775327844	0.848074094296385	0.863564853523194
SE	known	SE_sig	0.0583456789	0.004995005	0.514050615089044	0.511496779328394	0.45502885311429	0.453827183534264
A3	known	A3_sig	-0.0671239644	0.0331668332	0.714706982299048	0.704942414577169	0.768945924452149	0.784951401154301
A3	known	A3_sig	-0.0317706321	0.0592264878	0.753707539319158	0.745398998253706	0.76909721929973	0.793550582544923
A3	known	A3_sig	0.043399935	0.0483682984	0.550130486630572	0.550924231629151	0.500827247065428	0.513427601280827
A3	known	A3_sig	0.1214513622	0	0.990319084431366	1	0.875922527192984	0.871493832775189
A5	known	A5_sig	0.1935397089	0	0.444080882202961	0.399439329174056	0.226548099015978	0.229892694557928
SE	novel	SE_sig	-0.0511807822	0.0331668332	0.00846121538555979	0	0.0555632292373878	0.0552595504762887
SE	known	SE_sig	0.1796082801	0	0.466078557105436	0.470600142015282	0.293448154360275	0.284013984499757
SE	known	SE_sig	0.0550105421	0.0494505495	0.957181933540408	0.979369970357947	0.926764902895634	0.899765916720056
SE	known	SE_sig	0.1142083529	0.0539460539	0.748688201251123	0.772112460926909	0.707085867923465	0.585298088366229
A3	known	A3_sig	-0.1343320457	0.01998002	0.223844283645536	0.270484209964509	0.41897843406849	0.344014150951146
A3	known	A3_sig	0.4622763317	0	1	1	0.564711469970406	0.510735866646703
RI	novel	RI_sig	0.2042631178	0.0466200466	0.650952941756898	0.608894582662585	0.375829517172073	0.475491771732125
AF	novel	AF_sig	-0.4998352834	0.0529470529	0.355066576783687	0.645262856402833	1	1
AF	novel	AF_sig	0.4883188383	0.0529470529	1	1	0.577925628600017	0.445436694838239
A3	known	A3_sig	-0.2052614595	0.0164835165	0.592603093853636	0.66644435027447	0.812892758197061	0.856677604976257
A3	novel	A3_sig	-0.1663039395	0.0404595405	0.21791415171423	0.218998692269833	0.416354476751918	0.353166246231744
SE	known	SE_sig	-0.0455836834	0.0404595405	0.861270955284109	0.900012830284475	0.928748307576016	0.923702844696277
RI	novel	RI_sig	-0.5941318108	0.0394605395	0	0	0.640614556706353	0.54764906496865
AF	novel	AF_sig	0.953058392	0.00999001	1	1	0.0791857956173055	0.0146974204617288
A5	known	A5_sig	0.1845398357	0.041958042	0.276428597812	0.203232976549227	0.0235496314251352	0.0870322715542418
A3	known	A3_sig	0.1897925813	0.031968032	0.850801805180447	0.566806093617546	0.484096410396669	0.553926325739044
SE	known	SE_sig	-0.1257496074	0.0424575425	0.699348590821507	0.983641402517861	1	0.934489208186269
SE	known	SE_sig	0.123712328	0.01998002	1	1	0.903616453658017	0.848958890303488
A3	known	A3_sig	0.208304915	0.025974026	1	0.674480880034031	0.680948170531057	0.576922879447915
A5	novel	A5_sig	-0.1461694513	0.0174825175	0.203623861478006	0.252777046658226	0.316074727070272	0.432665083643849
RI	novel	RI_sig	0.6833216531	0.0374625375	1	0.565685712643432	0	0.199042406418779
A3	known	A3_sig	0.2017210579	0.0254745255	1	1	0.59655788415384	1
RI	novel	RI_sig	-0.2228405578	0.001998002	0.655349321506462	0.822682615174281	1	0.923713052308898
SE	known	SE_sig	-0.0842915705	0.0539460539	0.402336300229491	0.391158549755429	0.44342880556727	0.518649185489148
SE	known	SE_sig	0.4788348058	0.027972028	1	0.711440740402082	0.24049048309177	0.513280645676087
A3	known	A3_sig	-0.2610225418	0.045954046	0.35433117742556	0.804152517439816	0.680528778454737	1
SE	known	SE_sig	-0.5223517822	0.0224775225	0.450614204516232	0.504682231100412	1	1
AF	novel	AF_sig	0.4838047948	0.0204795205	1	0	0	0.0323904104842261
SE	known	SE_sig	0.3178304445	0.005994006	0.674846851607932	0.585617383841983	0.286169459184815	0.338633887282785
AF	novel	AF_sig	-0.0905585967	0.04995005	0.649543970569244	0.652278378828285	0.742238511789714	0.740701030952641
AF	known	AF_sig	-0.0832753853	0.04995005	0.696023095867986	0.699729126449451	0.788129983097199	0.774173009910185
RI	novel	RI_sig	-0.3199676311	0.0224775225	0.0904525004857982	0.37018541940693	1	0.10057318201932
A3	known	A3_sig	-0.2158959916	0.035964036	0.466007055286441	0.224640507538833	0.524324102950747	0.598115443003655
A3	known	A3_sig	-0.1200932878	0.045954046	0.125772505328167	0.194480686412733	0.258429877528224	0.302009889783904
AL	novel	AL_sig	0.2485638747	0	0.497994723030668	0.561237750793479	0.291521470769446	0.27058325372084
AL	novel	AL_sig	0.1547364602	0	0.309472920435349	0	0	0
RI	novel	RI_sig	-0.6349892301	0.0539460539	0	0.361477202681067	0.63145566287694	1
SE	known	SE_sig	-0.0814173376	0.0539460539	0.0532649994968935	0.0707410350810544	0.143962552371534	0.142878157316854
SE	known	SE_sig	-0.1985423524	0	0.524864823948975	0.562727170239933	0.746431054260274	0.738245644754189
SE	known	SE_sig	-0.0828601001	0.008991009	0.0564428243953361	0.088197445461456	0.132484578625465	0.177875891508555
SE	known	SE_sig	-0.0438638908	0.0144855145	0.366421050613641	0.363302285296965	0.425018703815378	0.392432413767995
AF	known	AF_sig	0.0940958304	0.037962038	0.900027299691971	1	0.879433409646204	0.832402229259113
AF	known	AF_sig	0.0941659023	0.037962038	0.944529177720365	0.957824954219489	0.866544669182471	0.847477658212146
AF	known	AF_sig	0.2055481322	0.037962038	0.783416987720626	0.862062780272562	0.656890647492364	0.577492856194678
AF	novel	AF_sig	-0.4904093492	0.037962038	0.728657046431809	0	0.847868296955915	0.861607447966557
AF	novel	AF_sig	-0.2620779364	0.037962038	0.550685576405251	0	0.511845811194801	0.562995637951703
AF	novel	AF_sig	-0.4144380871	0.037962038	0.820644386550937	0	0.828453619822055	0.82106694085881
AF	known	AF_sig	0.1682290711	0.035964036	1	0.960966963151484	0.790296685403412	0.834212135489892
SE	known	SE_sig	-0.032653055	0.033966034	0.0803034632047075	0.081050148131405	0.11905269589184	0.107607025366202
A3	known	A3_sig	-0.5261852247	0.0104895105	0	0.793696399999398	0.846066849352525	1
AF	known	AF_sig	-0.1690586588	0.010989011	0.646989021919025	0.646031651372126	0.795219626153387	0.835918364694695
AF	known	AF_sig	-0.0929595085	0.0264735265	0.904790949010654	0.862232226245155	0.965933348389131	0.987008843843907
AF	novel	AF_sig	-0.190768151	0.010989011	0.503094308211957	0.495715449929661	0.640447106081333	0.739898954080931
AF	novel	AF_sig	-0.1471827848	0.0233100233	0.839993018354728	0.771213421609222	0.928601368482074	0.97697064110494
SE	known	SE_sig	0.0882500073	0.001998002	0.189548019435421	0.202497706179306	0.107780501891223	0.107765209157135
A5	novel	A5_sig	0.2510857212	0.043956044	1	0.840562867750929	0.668595697039415	0.669795728353269
SE	known	SE_sig	0.7321632303	0.0569430569	1	1	0.144041354408588	0.391632185087065
SE	known	SE_sig	0.2861763069	0.047952048	1	1	0.623541091227613	0.804106294946207
SE	known	SE_sig	-0.1842393098	0.041958042	0.39422172781135	0.485441387821573	0.639781848921612	0.608359886282755
AF	known	AF_sig	0.3466588442	0.0569430569	0.693317688489038	0	0	0
AF	known	AF_sig	0.0895217012	0.0444555445	0.298540150547341	0.236539944147009	0.164898845909985	0.191137846312999
SE	known	SE_sig	0.1907761709	0.0434565435	0.386086656269046	0.732515389105506	0.381138539384381	0.355911164214158
A5	novel	A5_sig	0.2617558519	0.041958042	0.405539951135788	0.199531771490711	0.025424300748075	0.0561357181546701
SE	known	SE_sig	0.0917554538	0.025974026	0.898195948490491	0.93487050987848	0.810495906464003	0.839059644246938
SE	known	SE_sig	0.0879790708	0.044955045	1	1	0.909715916005776	0.914325942353291
AF	novel	AF_sig	0.2216925415	0.0599400599	0.277649722705096	0.379184104250822	0	0.213448743984016
SE	known	SE_sig	-0.1410598036	0.031968032	0.769817054264243	0.813660411798221	0.905040321019996	0.960556752257643
AF	novel	AF_sig	0.3694400025	0.0569430569	1	1	1	0.261119995029311
AF	novel	AF_sig	-0.9454838685	0.0539460539	0	0	0.890967737019053	1
AF	novel	AF_sig	0.5680640267	0.0566100566	1	0.790160682714434	0	0.654032629238814
AF	novel	AF_sig	-0.8709814907	0.027972028	0	0	0.840049398255624	0.901913583077323
SE	known	SE_sig	-0.4318918051	0.038961039	0	0.448746722293394	0.670369054682828	0.642161277769439
SE	known	SE_sig	-0.1512841867	0.0284715285	0.532299612027966	0.495615637552055	0.651886738917898	0.678596884030417
AF	novel	AF_sig	-0.9431663888	0.0549450549	0	0	1	0.886332777503653
SE	known	SE_sig	-0.3177475055	0.035964036	0.269897471844022	0.299237908256969	0.65519583093521	0.549434560159025
A5	known	A5_sig	1	0	1	1	0	0
A3	known	A3_sig	-0.1349793888	0.0474525475	0.446709438988341	0.498350936999969	0.612604989480736	0.602414164107432
AF	known	AF_sig	0.2871192367	0.0519480519	0.827539509465151	0.509832357839836	0.34545956431325	0.417673829551456
AF	known	AF_sig	0.4796206655	0.011988012	0.870627486805744	0.698932304854128	0.349396229236412	0.260922231402084
AF	novel	AF_sig	0.3277702119	0.0519480519	0.85841525941491	0.777452993941278	0.451062090996342	0.529265738561254
A5	known	A5_sig	1	0	1	1	0	0
AF	novel	AF_sig	-0.5742845529	0.033966034	0	0.821633301192358	1	0.97020240693525
