biaoji	3UTR	middle_pos	CTRL1.PDUI	CTRL2.PDUI	A1.PDUI	A2.PDUI	p-value	Bonferroni	PDUI_diff	PDUI_fc	gname
novel	chr10|81924598|81925250|PB.FLNC.3442.6|-	81924931	0.454175800516715	0.754648938909118	1	1	0.002969136394820931	0.0294440904704747	-0.395587630287084	-0.726385466033451	Pnpo
novel	chr10|92894214|92895699|PB.FLNC.3688.12|-	92894266	0.343966284274372	0.777901840120524	1	0.955214150859174	0.00029784261207970825	0.00439778750944928	-0.416673013232139	-0.801412572761371	Prkca
novel	chr11|2568927|2572865|PB.NM_001105900.1|+	2572063	0.2539278265389	0.543932350381947	0.742294950391189	0.694407527510499	0.0009860126164648205	0.0119260309086666	-0.31942115049042	-0.84853740440289	Cggbp1
novel	chr11|26603573|26605330|PB.Polish.2716.6|-	26603902	0.535454478568017	0.709044970737685	0.937628780971999	0.955353551490117	0.00018575414696649371	0.00293232042737033	-0.324241441578207	-0.605087411776941	Ltn1
novel	chr11|26603573|26605330|PB.Polish.2716.6|-	26604982	0.460861196683119	0.754411557958626	0.896104114545469	0.969764865103943	0.00011444288090748538	0.00192703859623749	-0.325298112503834	-0.618559258628447	Ltn1
novel	chr11|41936584|41938013|PB.NM_001037095.1|-	41937375	0.548390628900792	0.595530402263796	1	1	0.003091067607196636	0.0304413442472039	-0.428039484417706	-0.806001742103853	Cpox
novel	chr11|44605580|44606001|PB.Polish.2797.16|+	44605890	0.163024966370065	0.332884344323139	0.49068815080051	0.572545683996362	3.646139687188884e-08	1.46589836974266e-06	-0.283662262051835	-1.10027965832795	Pcnp
known	chr11|48535394|48536296|PB.NM_031753.2|+	48535569	0.637713822849123	0.607489963291342	1	1	4.23677320077694e-11	2.82482247973541e-09	-0.377398106929767	-0.683609386478672	Alcam
novel	chr11|48535394|48536410|PB.FLNC.4118.44|+	48535569	0.69109959116781	0.62490770349181	1	1	5.02796970921805e-10	2.87089047040432e-08	-0.34199635267019	-0.603825015721746	Alcam
novel	chr11|48535394|48536541|PB.FLNC.4118.10|+	48535569	0.666779759580747	0.616980431157815	1	1	2.493706798242187e-10	1.49545785618608e-08	-0.358119904630719	-0.639616221986883	Alcam
novel	chr11|48535394|48536740|PB.FLNC.4118.55|+	48535569	0.578694176382119	0.537124745064108	0.924165028593843	0.964235223039511	4.67588612572317e-09	2.24578521774386e-07	-0.386290665093564	-0.759051079910659	Alcam
novel	chr11|48535394|48536873|PB.FLNC.4118.15|+	48535569	0.54947241478136	0.503893146701779	0.887696565806423	0.924408737768266	6.239513030191432e-08	2.41362351793117e-06	-0.379369871045775	-0.782649127255786	Alcam
novel	chr11|48535394|48537047|PB.FLNC.4118.52|+	48535569	0.623039213486531	0.544095041726843	0.961046629800178	1	1.1063305937071725e-10	6.92472638959163e-09	-0.396956187293402	-0.748643308511697	Alcam
novel	chr11|48535394|48537923|PB.FLNC.4118.21|+	48535569	0.541490246014289	0.510603540966936	0.88264981963588	1	1.8347067107129083e-09	9.58377575968259e-08	-0.415278016327327	-0.839489262282042	Alcam
novel	chr11|48535394|48537923|PB.FLNC.4118.21|+	48537047	0.401058292399488	0.474949227944847	0.727660477763432	0.744382666405531	0.0008291543210663084	0.0103736096264409	-0.298017811912314	-0.748791459329459	Alcam
novel	chr11|48535394|48538042|PB.Polish.2805.11|+	48535569	0.535582460725557	0.503332898749414	0.891113785729943	1	8.717418398420061e-10	4.78655385155193e-08	-0.426099213127486	-0.864145533056658	Alcam
novel	chr11|48535394|48538042|PB.Polish.2805.11|+	48536873	0.420460329930935	0.52278655626863	0.699726641015649	0.748164532342194	0.0033753506910858076	0.0325365735991316	-0.252322143579139	-0.618235171239044	Alcam
novel	chr11|48535394|48538042|PB.Polish.2805.11|+	48537047	0.451000006135844	0.49893439889357	0.808744224969867	0.787060957776145	0.00015627657861410835	0.00252073769065837	-0.322935388858299	-0.748372442681128	Alcam
novel	chr11|65067835|65068929|PB.NM_001012017.1|+	65068456	0.270477086395929	0.286472745901574	0.687760679061692	0.579156363962517	0.0027559238245747366	0.0276869108983599	-0.354983605363353	-1.18567374278078	Slc49a4
novel	chr11|68486875|68488843|PB.FLNC.4257.10|-	68487209	0.634998614457721	0.429469124495715	0.922160477950301	1	0.0019451812555260858	0.0210802241505969	-0.428846369498432	-0.85258446788074	Rnf168
novel	chr11|69492938|69493625|PB.FLNC.4275.6|+	69493068	0.270879966640197	0.371822054935825	0.628367895839386	0.618896206959396	8.19779583377503e-11	5.1916955385049e-09	-0.30228104061138	-0.956523306165934	Ppp1r2
novel	chr11|69492938|69494468|PB.NM_138823.3|+	69493068	0.463031003311592	0.486102412047654	0.721710872418198	0.702424846477178	2.349003264308023e-07	7.94185056400456e-06	-0.237501151768065	-0.585393701317144	Ppp1r2
novel	chr11|69492938|69494671|PB.FLNC.4275.23|+	69493068	0.42505275812188	0.470668593370034	0.702175059136798	0.678699015653531	1.7509249969443046e-07	6.04350623141435e-06	-0.242576361649207	-0.624448543827108	Ppp1r2
novel	chr11|69492938|69495040|PB.Polish.2917.5|+	69493068	0.354434232932772	0.398398519515775	0.6003984289947	0.576500890657478	4.467941473606127e-06	0.000111021105899132	-0.212033283601815	-0.644575797451487	Ppp1r2
novel	chr11|80846753|80849613|PB.NM_181473.2|-	80846924	0.408625184131384	0.80134301640376	1	1	4.156107492190519e-05	0.000802405321491351	-0.395015899732428	-0.725021448066368	Klhl24
novel	chr11|80846753|80849613|PB.NM_181473.2|-	80849283	0.374607952930611	0.852731700814259	1	1	8.63191556070339e-05	0.00152149913934927	-0.386330173127565	-0.704456362356444	Klhl24
novel	chr11|80846924|80849613|PB.FLNC.4372.12|-	80847096	0.618940940875218	0.680817607410094	0.997370269915296	0.977385356598654	0.00018017487086011353	0.0028568495587118	-0.337498539114319	-0.603422901106229	Klhl24
novel	chr11|80846924|80849613|PB.FLNC.4372.12|-	80849283	0.571034693111745	0.688768070958559	0.968033534771167	0.997943846703894	0.00018017487086011353	0.0028568495587118	-0.353087308702379	-0.642040615135502	Klhl24
novel	chr11|85029741|85031169|PB.FLNC.4434.31|+	85029986	0.291481335480716	0.33749663407957	0.481130191693291	0.585236977794805	0.004318842800566492	0.0396975477121734	-0.218694599963905	-0.761604062360434	Mzt2b
novel	chr11|85029741|85031169|PB.FLNC.4434.31|+	85030039	0.333541902936921	0.355889866628955	0.533460471999627	0.671141875163473	0.002938705977255894	0.0292359029776213	-0.257585288798612	-0.805059390979495	Mzt2b
novel	chr11|85029741|85031169|PB.FLNC.4434.31|+	85030166	0.472359081132711	0.436658774435525	0.660936973373778	0.872211361038177	0.0010393851789626037	0.0124801791986287	-0.312065239421859	-0.754103826844588	Mzt2b
novel	chr12|11910915|11911663|PB.FLNC.4607.24|-	11911368	0.432050581068847	0.283501561682365	0.74601612849087	0.6042094153614	0.00043651350747558957	0.00607356350744876	-0.317336700550529	-0.91605265761681	Wipi2
novel	chr12|26872735|26873181|PB.NM_001033684.2|-	26872965	0.461964567117139	0.59653058645096	0.946982451134256	0.811106325964207	1.5642449080612814e-07	5.45174901479994e-06	-0.349796811765182	-0.731982412239873	Cct6a
novel	chr12|38515451|38518712|PB.NM_001107145.1|+	38515741	0.564913028203231	0.680865099184847	0.953567443796089	0.913438782449727	0.002568345832334079	0.0262320726329117	-0.31061404942887	-0.583671884380333	Fbxw8
novel	chr12|41709189|41710857|PB.Polish.3433.1|-	41709465	0.879556097685805	1	0.558360431324113	0.409688353305589	0.002331504841068311	0.0243928973209241	0.455753656528051	0.957225861692772	Oasl2
novel	chr12|41869773|41870319|PB.FLNC.5024.36|+	41870097	0.198043042897777	0.610892331462215	0.741504099875659	0.788173707050213	7.286977174662297e-06	0.000172485240311825	-0.36037121628294	-0.919114651085974	Git2
known	chr12|44264090|44264627|PB.XM_039089506.1|-	44264586	0.0326599326599327	0.603653313177123	1	0.861333832896216	0.002020643913900073	0.0217340702342288	-0.61251029352958	-1.54849792603199	Hps4
novel	chr13|102526829|102529501|PB.XM_039090823.1|+	102528773	0.28627213430398	0.489744563518279	0.827097932266774	0.922760533793693	0.0015519735241618345	0.0174264223798276	-0.486920884119104	-1.17305794392836	Angel2
novel	chr13|22687368|22690149|PB.FLNC.5121.6|-	22690026	0.301594304437608	0.706031360824613	1	1	0.0006870378852319562	0.00885886868351043	-0.496187167368889	-0.989026017047095	Bcl2
novel	chr13|39427661|39429154|PB.XR_005492430.1|+	39428848	0.292465308135494	0.448492106009517	0.766839086922298	0.93453175917517	4.3726060947038474e-07	1.40954174545341e-05	-0.480206715976228	-1.19921312388897	Rab3gap1
novel	chr13|68551383|68555030|PB.FLNC.5390.8|-	68552494	0.402857964944058	0.483696264525514	0.710112888187868	0.619391184178602	0.0004023583497709234	0.00568314342347183	-0.221474921448449	-0.584596566240559	Soat1
novel	chr13|72437487|72438326|PB.NM_001004208.1|-	72437618	0.315857972368685	0.535140899472677	0.858823283677425	0.678828933067775	6.65856144062276e-07	2.04510236865136e-05	-0.343326672451919	-0.85348496897428	Cacybp
novel	chr13|75745677|75747406|PB.NM_001100563.1|-	75745782	0.397620077559972	0.53121041848264	0.845878145824098	0.986223296674283	0.00013576833919755002	0.00222334895059664	-0.451635473227884	-0.979996825760484	Gorab
novel	chr13|91483139|91483568|PB.FLNC.5601.15|-	91483494	0.575079080216389	0.402392773823054	1	0.788549424062151	0.00011759983145572161	0.00196938438496325	-0.405538785011353	-0.87164953338876	Ahctf1
novel	chr13|96365437|96365823|PB.FLNC.5665.7|-	96365563	0.373552123552124	0.454211295639031	0.680483507551177	0.684445535301281	0.002402426387021429	0.0250013049456922	-0.268582811830652	-0.721521836286172	Mtarc2
novel	chr13|96831480|96832088|PB.Polish.3836.2|-	96831772	0.627048327466738	0.672802784040662	1	0.991818327330932	1.5761943242000357e-07	5.48449204963542e-06	-0.345983607911766	-0.615731971942033	Iars2
novel	chr14|1406529|1407328|PB.Polish.3892.4|-	1407188	0.357307684849425	0.657740850260833	0.96736831259508	0.829215724288741	0.004451761638109028	0.0406010495363478	-0.390767750886782	-0.82369534247599	LOC100910143
known	chr14|18841288|18845402|PB.XM_039092508.1|-	18845158	0.301137451354392	0.529399162190437	1	1	0.0011123470522803119	0.0131793481597163	-0.584731693227586	-1.26786401125812	Slc4a4
novel	chr14|40816639|40817520|PB.FLNC.5975.35|-	40816741	0.302355037964794	0.26404427212778	0.578377338527389	0.790722643837153	1.7821881856636146e-06	4.9950128143619e-05	-0.401350336135984	-1.27330652719377	Slc30a9
novel	chr14|40816639|40817520|PB.FLNC.5975.35|-	40817475	0.309054834054834	0.233373966739925	0.564754664493829	0.892846683864854	8.44473338452296e-08	3.17513101632791e-06	-0.457586273781961	-1.42605711429674	Slc30a9
novel	chr14|40816741|40817520|PB.Polish.4027.17|-	40816873	0.258629811264675	0.358005836575876	0.62750876146447	0.614919721003922	5.1227108472305854e-05	0.000968982195411396	-0.31289641731392	-1.01064904118231	Slc30a9
novel	chr14|40816741|40817520|PB.Polish.4027.17|-	40817475	0.326013259002562	0.466359031230322	0.700544786607851	0.673626138208894	0.0002273130471400449	0.00350587917316783	-0.29089931729193	-0.794295712229882	Slc30a9
novel	chr14|42648643|42649798|PB.FLNC.5987.7|+	42649244	0.338680376295987	0.626483490933619	1	0.755621809772415	1.4786507460057838e-08	6.47860262571391e-07	-0.395228971271405	-0.863122826177982	Pds5a
novel	chr14|43144253|43145421|PB.NM_001047093.1|-	43144364	0.73535006362408	0.412210101932902	1	1	1.848442214622126e-06	5.13379119090846e-05	-0.426219917221509	-0.801419488566577	Klhl5
novel	chr14|43144253|43145421|PB.NM_001047093.1|-	43144821	0.52877433869283	0.603071665390711	1	0.697483452696115	0.004977016393022368	0.044338539001219	-0.282818724306287	-0.58471133401488	Klhl5
novel	chr14|58221789|58222161|PB.NM_001005883.1|-	58221841	0.313590982286634	0.4620983734339	0.886536541705394	0.595975364351485	0.000735717259233405	0.00936839492199405	-0.353411275168172	-0.934475046816824	Pi4k2b
known	chr14|65402673|65407732|PB.XM_039092775.1|+	65402806	0.450490215159859	0.425688245462752	0.948640285924469	1	0.003744539213646768	0.0353835881944465	-0.536230912650929	-1.15315301930302	Lcorl
novel	chr14|79049530|79050049|PB.FLNC.6199.2|+	79049888	1	0.627667285167575	0.33400008122817	0.744672885199606	0.0007753255814646748	0.00981454298848178	0.274497159369899	0.593539270486379	Sf3a1
known	chr15|100000156|100001351|PB.XM_039093206.1|-	100000958	0.423996491341016	0.404418585616065	1	1	0.0027519779841761235	0.0276861365240287	-0.58579246152146	-1.27155388143673	Tmtc4
novel	chr15|18562781|18563445|PB.FLNC.6500.25|+	18563275	0.132093331274073	0.250780769412767	0.414480028651365	0.441154970760234	0.00035085827053432206	0.00503514452546882	-0.236380449362379	-1.16008378587717	Psmc6
novel	chr15|20069927|20070885|PB.NM_031032.2|-	20070733	0.99990789466777	0.943842997334497	0.614408801291328	0.644737207952718	7.043764263326243e-10	3.92785909011302e-08	0.34230244137911	0.626389680250406	Gmfb
novel	chr15|21002117|21002578|PB.XM_039093799.1|+	21002393	0.163066823546989	0.159039682068925	0.679761445464197	0.634356962087349	2.6500091412043205e-06	7.01517216430525e-05	-0.496005950967816	-2.02841795068788	Ktn1
novel	chr15|31106250|31107098|PB.Polish.4460.8|+	31106892	0.867262990782646	0.390855713076709	0.357857164230784	0.258822579342647	0.0038456083562451683	0.0361635417434198	0.320719480142962	1.02865082976085	Zmym2
novel	chr15|35537392|35538835|PB.FLNC.6708.22|-	35537571	0.207908542429701	0.503810988689038	0.684108173533147	0.614508953905521	0.0007293099668355097	0.00930336047414828	-0.293448798159965	-0.867577088227084	Kpna3
novel	chr15|45742052|45743607|PB.NM_001108386.2|-	45742362	0.399227301996136	0.812895264538023	1	0.971922850824399	1.1961609496723447e-06	3.45630947893884e-05	-0.37990014214512	-0.702058349530136	Xpo7
novel	chr15|50655381|50655649|PB.Polish.4567.1|+	50655586	0.0496592015579357	0.510817307692308	0.687906976744186	0.565958111909972	0.0009282634907884701	0.0113168023189879	-0.346694289701957	-1.16162784638302	Zc3h13
novel	chr15|50655381|50655736|PB.Polish.4567.3|+	50655586	0.0649389558834544	0.792683678500986	0.976410256410256	0.764012792459182	4.466041268130785e-06	0.000111021105899132	-0.441400207242499	-1.02100607598251	Zc3h13
novel	chr15|50655381|50655736|PB.Polish.4567.3|+	50655649	0.127751196172249	1	1	1	8.655483018634014e-07	2.58448629940269e-05	-0.436124401913876	-0.826540025480535	Zc3h13
novel	chr15|75786845|75789044|PB.FLNC.6884.2|-	75786991	0.0026983742135964	0.0812029177569189	0.222613640559802	0.443374794469949	0.0052238478691356135	0.0460578192617957	-0.291043571529618	-2.98843165568906	Mzt1
novel	chr15|75786991|75789044|PB.XM_001081273.5|-	75787280	0	0.109048740455292	0.24676568563239	0.633327035707538	0.0008832937635764021	0.010873528560907	-0.385521990442318	-3.01245063159594	Mzt1
novel	chr15|75787280|75789044|PB.Polish.4593.4|-	75788412	0.360990892671891	0.464261997418178	0.685773082186954	0.868314919651384	0.0033445248545383435	0.0322857932113686	-0.364417555874134	-0.913143612221917	Mzt1
novel	chr15|97540134|97542924|PB.NM_001111064.1|+	97541198	0.134836755999666	0.180996156328153	0.408150200754832	0.439127138059787	7.2779202872355776e-09	3.38202750317447e-07	-0.2657222132434	-1.42361546318786	Mbnl2
novel	chr16|2118502|2122262|PB.XM_039095136.1|-	2121944	0.487586722357673	0.829826943132833	1	0.985310613045107	0.0025623837308465843	0.0262154443596412	-0.333948473777301	-0.591648954320503	Appl1
novel	chr16|2118647|2122262|PB.FLNC.7007.16|-	2121944	0.127894650912362	0.534112430197592	0.967390220829915	0.72551299329405	0.0015546188731621348	0.0174470008300668	-0.515448066507006	-1.35455439969733	Appl1
novel	chr16|2118647|2122262|PB.FLNC.7007.16|-	2122143	0.165612196057531	0.856635673402746	1	1	0.0001524530366178743	0.00248143612065894	-0.488876065269861	-0.968241145176722	Appl1
novel	chr16|2121944|2122262|PB.Polish.4650.9|-	2122143	0.48627417495624	0.522325016520512	0.775892136515623	0.835674300501532	0.001762413742634663	0.019386419606243	-0.301483622770201	-0.676099987530615	Appl1
novel	chr16|24972225|24972764|PB.FLNC.7240.3|+	24972601	0.4587582324198	0.426185446163401	0.949642664104258	0.777026287565391	2.2209592647943508e-05	0.000463830490815855	-0.420862636543224	-0.964318067798756	Klhl2
novel	chr16|24972225|24973006|PB.Polish.4814.6|+	24972601	0.254425461049775	0.21988290689568	0.593905044935788	0.507077170254544	0.0031261250694191466	0.0306600178690542	-0.313336923622438	-1.21485931284328	Klhl2
novel	chr16|24972225|24973006|PB.Polish.4814.6|+	24972764	0.19872899868928	0.0992008476107561	0.416860329939495	0.469390139322156	0.005748550465318016	0.049764366911255	-0.294160311480807	-1.57267753992947	Klhl2
novel	chr16|24972225|24973523|PB.FLNC.7240.4|+	24972601	0.202739056357625	0.17654144390608	0.492637814795529	0.450348581499446	0.004835001694301033	0.0434502517266425	-0.281852948015636	-1.31392628213424	Klhl2
novel	chr16|44537982|44540069|PB.FLNC.7307.1|+	44539512	0.208847271553116	0.226210407130346	0.460265584565479	0.667600373482726	0.0007012564955080475	0.00901513515093549	-0.346404139682372	-1.37427629486073	Cdkn2aip
novel	chr16|50996693|50997724|PB.FLNC.7343.31|+	50997383	0.222669584975328	0.294046581174826	0.506115418598195	0.543702143011965	2.035150255922997e-15	2.32407664066015e-13	-0.266550697730003	-1.02266635500785	Asah1
novel	chr16|51345089|51347305|PB.XR_005494615.1|+	51345790	0.473522742430305	0.558330108852475	0.913451642637886	0.799512509587468	0.003088312679819546	0.0304281711441238	-0.340555650471287	-0.731246593354644	Mtus1
known	chr16|51345089|51347305|PB.XR_005494615.1|+	51346143	0.552641997652815	0.664610490705131	1	0.899698344387029	0.0021539335628195043	0.0228246790030464	-0.341222928014542	-0.642133384130314	Mtus1
novel	chr16|51345089|51347791|PB.NM_178093.2|+	51345790	0.432786391690501	0.563284653636518	0.921703356820868	0.783035987258006	0.005509686091802434	0.0481234543144453	-0.354334149375927	-0.775218573024778	Mtus1
known	chr16|51345089|51347791|PB.NM_178093.2|+	51346143	0.49376143507628	0.670068528479847	1	0.86653192637624	0.0020402991092286675	0.0219045948109389	-0.351350981410057	-0.681470557345004	Mtus1
novel	chr16|51345089|51347971|PB.Polish.4869.8|+	51345657	0.461350121713397	0.554003662780155	0.959758113042129	0.733423744650754	0.005509686091802434	0.0481234543144453	-0.338914036599665	-0.737743059291974	Mtus1
novel	chr16|51345089|51347971|PB.Polish.4869.8|+	51345790	0.411197281521471	0.540634416711777	0.907754575223284	0.785441902802389	0.0025339696853177744	0.0260171186867945	-0.370682389896212	-0.830957714533531	Mtus1
novel	chr16|51345089|51347971|PB.Polish.4869.8|+	51346143	0.463511424363048	0.635139708690536	1	0.868553507464412	0.0008236069798721207	0.0103222523355952	-0.384951187205414	-0.766177711999497	Mtus1
novel	chr16|51345089|51347971|PB.Polish.4869.8|+	51347305	0.283819811379246	0.549582506467795	0.822539850445267	1	0.00019437078881313132	0.00305263091809006	-0.494568766299113	-1.1288465525577	Mtus1
novel	chr16|51792991|51794515|PB.FLNC.7351.3|+	51794206	0.539220040863463	0.385458009207811	0.74468085106383	0.938422495770375	0.0001812177068629263	0.00286492939786738	-0.379212648381466	-0.864086656191667	Cnot7
novel	chr16|51792991|51794578|PB.NM_001107313.1|+	51794074	0.400424568806645	0.288158726988249	0.589368392384065	0.706798762781587	0.0029481744406225805	0.0293165155468857	-0.303791929685379	-0.9125290514876	Cnot7
novel	chr16|51792991|51794578|PB.NM_001107313.1|+	51794206	0.559191153488035	0.506805900995455	0.886524822695036	1	3.5137244651359022e-06	9.01268226308276e-05	-0.410263884105773	-0.823515858777513	Cnot7
novel	chr16|58051380|58053600|PB.XM_039094645.1|+	58053036	0.199146738846224	0.588680504869665	0.938004103024464	0.907686084456586	7.051800400516482e-11	4.49243628482755e-09	-0.52893147188258	-1.22818820278918	Leprotl1
known	chr16|6918486|6922036|PB.XM_039094977.1|-	6921749	0.229492310550115	0.37736791624466	0.572044974789181	0.558712526314605	0.004753958933511634	0.0428654953143894	-0.261948637154505	-0.897831362497165	Ankrd28
known	chr16|69940539|69944800|PB.XM_039094673.1|-	69944355	0.313887679696503	0.454496000014156	0.994743867305227	1	0.003869969040247679	0.0363448667213812	-0.613180093797284	-1.37628164283413	Alg11
novel	chr17|1813596|1815545|PB.FLNC.7563.35|-	1815404	0.729176971805141	0.564071160169093	0.985379813548686	1	0.0019186298962930084	0.0208246032575908	-0.346065840787226	-0.618408143335023	Aopep
known	chr17|23796858|23799459|PB.NM_001001511.3|-	23799420	0.5851934129231	0.701594841426821	1	1	2.0508474052623645e-06	5.63759832824298e-05	-0.356605872825039	-0.636217331445251	Gcnt2
novel	chr17|26766941|26767769|PB.FLNC.7780.3|-	26767455	0.270442599957365	1	1	1	0.00025581731950573495	0.00388137246110857	-0.364778700021317	-0.654660521105445	Riok1
novel	chr17|40256310|40257534|PB.Polish.5196.5|-	40256544	0.433724921766586	0.536294183422722	0.766227128094377	0.837707001855764	1.3945896072691824e-07	4.91632910976389e-06	-0.316957512380417	-0.725518071083243	LOC100911664
novel	chr17|40256362|40257534|PB.Polish.5196.6|-	40256544	0.411486153316708	0.557053850859569	0.71545016371678	0.809346928912064	2.595164033772652e-06	6.90403675849629e-05	-0.278128544226284	-0.654722862048599	LOC100911664
known	chr17|51334920|51337145|PB.NM_001144851.2|-	51337063	0.618778008761948	0.431240165521575	0.826810411429064	0.937684967109577	0.000721129272038723	0.00920994904306921	-0.357238602127559	-0.748830225680056	B3galnt2
novel	chr17|51524934|51526612|PB.FLNC.7940.24|+	51525957	0.179030293785093	0.241735831265067	0.398478964661335	0.730269463486931	2.8306624575809668e-08	1.17546406773319e-06	-0.353991151549053	-1.42359050189913	Kif5b
known	chr17|54974345|54976093|PB.XR_005495286.1|+	54975602	0.407900056042164	0.716197152220558	0.964642115705184	0.822229343615486	4.2229674274209085e-11	2.8243890249003e-09	-0.331387125528974	-0.668659534993884	Rab18
